City,State Abbreviation,total_listings
Annville,PA,5
Anoka,MN,8
Anson,TX,1
Ansonia,CT,20
Ansted,WV,2
Antelope,CA,24
Anthem,AZ,17
Anthony,FL,2
Antigo,WI,5
Antioch,CA,129
Antioch,IL,6
Antioch,TN,47
Antrim,NH,1
Antwerp,OH,1
Anza,CA,1
Apache Junction,AZ,47
Apalachicola,FL,2
Apex,NC,43
Apison,TN,4
Apollo,PA,1
Apollo Beach,FL,33
Apopka,FL,50
Apple River,IL,1
Apple Valley,CA,65
Apple Valley,MN,16
Applegate,CA,1
Appleton,ME,2
Appleton,WI,91
Appling,GA,3
Appomattox,VA,1
Aptos,CA,91
Aptos Hill,CA,2
Aquasco,MD,1
Aquebogue,NY,1
Arab,AL,1
Arabi,LA,21
Aragon,GA,1
Aransas Pass,TX,4
Arapahoe,CO,4
Ararat,VA,1
Arboles,CO,1
Arcadia,CA,18
Arcadia,FL,3
Arcadia,LA,1
Arcadia,MI,1
Arcadia,OK,2
Arcanum,OH,1
Arcata,CA,53
Archbold,OH,1
Archdale,NC,4
Archer,FL,1
Arcola,IL,2
Arcola,VA,1
Arden,NC,50
Arden Hills,MN,2
Ardmore,AL,3
Ardmore,OK,9
Ardmore,PA,5
Argyle,NY,2
Argyle,TX,12
Argyle,WI,1
Aripeka,FL,1
Ariton,AL,1
Arivaca,AZ,1
Arizona City,AZ,8
Arkadelphia,AR,4
Arkansas City,KS,1
Arkdale,WI,2
Arkoma,OK,1
Arkport,NY,4
Arkville,NY,2
Arlee,MT,2
Arleta,CA,7
Arlington,KS,1
Arlington,KY,1
Arlington,MA,29
Arlington,SD,1
Arlington,TN,1
Arlington,TX,224
Arlington,VT,2
Arlington,WA,25
Arlington Heights,IL,12
Arlington Heights,MA,1
Armonk,NY,1
Armstrong Creek,WI,1
Arnold,CA,8
Arnold,MD,16
Arnold,MO,10
Arnolds Park,IA,12
Arnoldsville,GA,1
Arock,OR,1
Aromas,CA,9
Arpin,WI,1
Arrey,NM,1
Arrington,TN,2
Arrington,VA,1
Arrowsic,ME,1
Arroyo Grande,CA,129
Arroyo Hondo,NM,1
Arroyo Seco,NM,2
Artesia,CA,2
Artesia,NM,5
Arthur,IL,1
Arundel,ME,10
Arvada,CO,212
Arverne,NY,10
Asbury Park,NJ,43
Ascutney,VT,2
Ashaway,RI,2
Ashburn,VA,41
Ashburnham,MA,2
Ashby,MA,1
Ashdown,AR,1
Asheboro,NC,13
Asheville,NC,644
Ashfield,MA,1
Ashford,AL,1
Ashford,CT,6
Ashippun,WI,1
Ashland,AL,1
Ashland,IL,1
Ashland,KY,34
Ashland,MA,4
Ashland,NE,1
Ashland,NH,5
Ashland,OH,5
Ashland,OR,156
Ashland,PA,1
Ashland,VA,7
Ashland,WI,10
Ashland City,TN,8
Ashley,ND,1
Ashley Falls,MA,1
Ashtabula,OH,7
Ashton,MD,2
Ashville,AL,1
Ashville,NY,3
Asotin,WA,2
Aspers,PA,1
Astor,FL,3
Astoria,NY,26
Astoria,OR,77
Atascadero,CA,121
Atascocita,TX,2
Atascosa,TX,1
Atglen,PA,1
Athens,AL,12
Athens,GA,161
Athens,NY,4
Athens,OH,13
Athens,PA,3
Athens,TN,6
Athens,TX,9
Athens,WI,1
Athens,WV,2
Atherton,CA,3
Athol,ID,2
Athol,MA,1
Atkinson,NC,1
Atkinson,NH,6
Atlanta,IL,1
Atlanta,NY,1
Atlantic,IA,1
Atlantic Beach,FL,23
Atlantic Beach,NC,73
Atlantic Beach,NY,1
Atlantic Highlands,NJ,3
Atlantic Mine,MI,1
Atmore,AL,2
Attalla,AL,1
Attleboro,MA,26
Atwater,CA,12
Atwater,MN,1
Atwood,CO,1
Aubrey,TX,26
Auburn,AL,15
Auburn,CA,57
Auburn,GA,4
Auburn,IN,6
Auburn,KY,1
Auburn,MA,6
Auburn,ME,56
Auburn,NE,1
Auburn,NH,7
Auburn,NY,22
Auburn,PA,1
Auburn,WA,111
Auburn Hills,MI,4
Auburn University,AL,3
Auburndale,FL,9
Auburndale,MA,1
Audubon,NJ,1
Augusta,GA,429
Augusta,KS,1
Augusta,KY,1
Augusta,ME,67
Augusta,MI,3
Augusta,NJ,1
Auke Bay,AK,3
Ault,CO,5
Aumsville,OR,3
Aurora,IL,26
Aurora,IN,2
Aurora,MN,1
Aurora,MO,1
Aurora,NE,1
Aurora,OR,6
Austell,GA,53
Austin,AR,3
Austin,CO,1
Austin,MN,1
Austin,PA,1
Autaugaville,AL,2
Ava,NY,1
Avalon,CA,2
Ave Maria,FL,5
Avenal,CA,1
Avenel,NJ,1
Aventura,FL,7
Avenue,MD,1
Averill Park,NY,2
Avery,CA,1
Avila Beach,CA,6
Avoca,PA,2
Avon,CO,14
Avon,CT,8
Avon,IN,12
Avon,MA,5
Avon,MT,1
Avon,NC,1
Avon,NY,1
Avon,OH,3
Avon Lake,OH,3
Avon Park,FL,21
Avondale,AZ,67
Avondale,LA,2
Avondale Estates,GA,14
Axtell,NE,1
Axtell,TX,2
Ayden,NC,8
Aydlett,NC,1
Ayer,MA,3
Aynor,SC,3
Azle,TX,7
Aztec,NM,22
Azusa,CA,24
Babson Park,FL,4
Babylon,NY,8
Backus,MN,1
Bacliff,TX,6
Bad Axe,MI,2
Baden,PA,3
Badin,NC,4
Bahama,NC,6
Bailey,CO,10
Bailey,NC,1
Bailey Island,ME,1
Baileys Harbor,WI,2
Baileyton,AL,1
Baileyville,ME,1
Bainbridge,GA,7
Bainbridge,NY,3
Bainbridge,PA,2
Bainbridge Island,WA,16
Baker,FL,2
Baker,LA,5
Baker City,OR,12
Bakersfield,CA,503
Bakersville,NC,1
Balch Springs,TX,2
Baldwin,GA,1
Baldwin,MD,2
Baldwin,MI,1
Baldwin,NY,11
Baldwin City,KS,1
Baldwin Park,CA,20
Baldwinsville,NY,11
Ball,LA,1
Ball Ground,GA,12
Ballinger,TX,2
Ballston Lake,NY,6
Ballston Spa,NY,22
Ballwin,MO,22
Balsam,NC,2
Baltic,CT,1
Bamberg,SC,1
Bancroft,WV,1
Bandon,OR,32
Baneberry,TN,1
Bangor,ME,213
Bangor,PA,1
Bangs,TX,1
Banks,OR,1
Banner Elk,NC,18
Banning,CA,13
Bantam,CT,1
Baraboo,WI,1
Barberton,OH,6
Barboursville,VA,6
Barboursville,WV,2
Bardstown,KY,4
Barhamsville,VA,1
Barling,AR,5
Barnard,VT,3
Barnardsville,NC,2
Barnegat,NJ,1
Barnegat Light,NJ,2
Barnet,VT,3
Barneveld,NY,1
Barnhart,MO,2
Barnsdall,OK,1
Barnstable,MA,38
Barnstead,NH,4
Barnum,MN,1
Barnwell,SC,2
Baroda,MI,1
Barre,VT,59
Barrington,IL,4
Barrington,NH,5
Barrington,RI,5
Barstow,CA,4
Bartlesville,OK,23
Bartlett,IL,3
Bartlett,NH,6
Bartlett,TN,9
Bartlett,TX,1
Barto,PA,2
Barton,VT,6
Bartonsville,PA,1
Bartow,FL,12
Basalt,CO,9
Basehor,KS,2
Basin,MT,1
Basin,WY,3
Baskerville,VA,1
Basking Ridge,NJ,3
Bass Harbor,ME,8
Bass Lake,CA,1
Bassett,VA,2
Bastrop,TX,25
Basye,VA,5
Batavia,IL,6
Batavia,NY,7
Batavia,OH,1
Batesland,SD,1
Batesville,AR,3
Batesville,VA,1
Bath,ME,29
Bath,NC,3
Bath,NH,1
Bath,NY,2
Bath,PA,1
Baton Rouge,LA,238
Battle Creek,MI,23
Battle Creek,NE,1
Battle Ground,IN,1
Battle Ground,WA,19
Battle Lake,MN,4
Battlefield,MO,3
Battlement Mesa,CO,1
Baudette,MN,1
Baxter,MN,5
Baxter,TN,2
Bay,AR,1
Bay City,MI,28
Bay City,OR,2
Bay City,TX,2
Bay Harbor Islands,FL,2
Bay Pines,FL,1
Bay Port,MI,1
Bay Saint Louis,MS,21
Bay Shore,NY,22
Bay Village,OH,2
Bayard,NE,1
Bayfield,CO,14
Bayfield,WI,5
Bayonne,NJ,32
Bayport,NY,2
Bayside,CA,10
Bayside,NY,1
Bayside,TX,1
Baytown,TX,32
Bayview,ID,1
Bayville,NJ,11
Bayville,NY,3
Beach Haven,NJ,2
Beach Park,IL,3
Beachwood,NJ,1
Beachwood,OH,3
Beacon,NY,4
Bealeton,VA,1
Bean Station,TN,5
Bear,DE,6
Bear Lake,MI,2
Beardstown,IL,2
Bearsville,NY,1
Beatrice,NE,3
Beaufort,NC,31
Beaufort,SC,106
Beaumont,CA,39
Beaumont,KY,1
Beaumont,TX,27
Beaver,PA,6
Beaver,WV,1
Beaver Creek,MN,1
Beaver Dam,KY,2
Beaver Dam,WI,3
Beaver Dams,NY,3
Beavercreek,OH,16
Beavercreek,OR,2
Beaverton,MI,2
Beaverton,OR,141
Becket,MA,4
Beckley,WV,38
Beckville,TX,1
Bedford,IN,5
Bedford,MA,6
Bedford,NH,22
Bedford,NY,1
Bedford,OH,9
Bedford,PA,2
Bedford,TX,16
Bedford,VA,1
Bedford,WY,1
Bedford Hills,NY,1
Bedminster,NJ,1
Bee Cave,TX,17
Bee Spring,KY,1
Beebe,AR,1
Beech Grove,IN,9
Beech Island,SC,3
Beech Mountain,NC,7
Beggs,OK,1
Bel Air,MD,13
Bel Aire,KS,5
Bel Alton,MD,1
Belchertown,MA,6
Belding,MI,1
Belen,NM,7
Belfair,WA,15
Belfast,ME,23
Belgrade,ME,9
Belgrade,MT,46
Belgrade Lakes,ME,5
Belhaven,NC,2
Bell,CA,1
Bell,FL,2
Bell Gardens,CA,4
Bella Vista,AR,67
Bellaire,MI,2
Bellaire,OH,1
Bellaire,TX,5
Bellbrook,OH,8
Belle,WV,1
Belle Chasse,LA,1
Belle Fourche,SD,4
Belle Haven,VA,1
Belle Isle,FL,4
Belle Mead,NJ,1
Belle Plaine,MN,1
Belle Vernon,PA,1
Belleair,FL,1
Belleair Beach,FL,3
Belleair Bluffs,FL,6
Bellefontaine,OH,3
Bellefonte,PA,11
Bellemont,AZ,4
Bellerose,NY,5
Belleview,FL,8
Belleville,IL,41
Belleville,KS,2
Belleville,MI,5
Belleville,NJ,24
Belleville,PA,1
Belleville,WI,3
Bellevue,IA,5
Bellevue,ID,3
Bellevue,KY,14
Bellevue,MI,1
Bellevue,NE,21
Bellevue,OH,1
Bellevue,PA,1
Bellflower,CA,32
Bellingham,MA,3
Bellingham,WA,245
Bellmawr,NJ,1
Bellmore,NY,2
Bellows Falls,VT,9
Bellport,NY,3
Bells,TN,1
Bells,TX,1
Bellville,GA,1
Bellville,OH,2
Bellville,TX,1
Bellvue,CO,3
Bellwood,IL,4
Belmar,NJ,16
Belmont,CA,23
Belmont,MA,14
Belmont,MI,2
Belmont,NC,38
Belmont,NH,11
Beloit,WI,8
Belpre,OH,5
Belton,KY,1
Belton,MO,3
Belton,SC,3
Belton,TX,39
Beltsville,MD,21
Belvedere Tiburon,CA,1
Belvidere,IL,5
Belvidere,TN,1
Bemidji,MN,52
Bemus Point,NY,1
Ben Lomond,CA,10
Ben Wheeler,TX,1
Benbrook,TX,6
Bend,OR,585
Benld,IL,1
Bennett,CO,3
Bennington,NE,7
Bennington,VT,31
Bensalem,PA,3
Benson,AZ,3
Benson,NC,5
Bent,NM,1
Benton,AR,9
Benton,IL,2
Benton,KY,3
Benton,TN,2
Benton City,WA,9
Benton Harbor,MI,16
Bentonville,AR,67
Bentonville,VA,1
Benwood,WV,3
Benzonia,MI,4
Berea,KY,1
Berea,OH,6
Beresford,SD,1
Bergenfield,NJ,10
Berkeley Heights,NJ,1
Berkeley Springs,WV,5
Berkley,MA,3
Berkley,MI,9
Berkshire,MA,3
Berlin,CT,12
Berlin,MD,19
Berlin,NH,30
Berlin,NJ,2
Berlin,OH,1
Berlin,VT,8
Berlin,WI,2
Bermuda Dunes,CA,23
Bernalillo,NM,3
Bernard,ME,1
Bernardston,MA,2
Bernhards Bay,NY,1
Berrien Springs,MI,6
Berryton,KS,1
Berryville,AR,1
Berryville,VA,3
Berthoud,CO,40
Berwick,ME,6
Berwick,PA,7
Berwyn,IL,17
Berwyn,PA,1
Bessemer,AL,13
Bessemer,MI,8
Bessemer City,NC,2
Bethania,NC,1
Bethany,CT,5
Bethany,OK,6
Bethany Beach,DE,14
Bethel,CT,3
Bethel,ME,14
Bethel,NY,1
Bethel,OH,1
Bethel,PA,3
Bethel,VT,4
Bethel Island,CA,14
Bethel Park,PA,3
Bethesda,MD,29
Bethlehem,CT,1
Bethlehem,GA,5
Bethlehem,NH,6
Bethlehem,PA,51
Bethpage,NY,2
Bettendorf,IA,21
Betterton,MD,1
Beulah,CO,2
Beulah,MI,4
Beulah,WY,4
Beverly,MA,38
Beverly,WV,1
Beverly Hills,CA,46
Beverly Hills,FL,4
Beverly Shores,IN,1
Bexley,OH,6
Biddeford,ME,47
Biddeford Pool,ME,6
Big Arm,MT,3
Big Bar,CA,1
Big Bay,MI,3
Big Bear City,CA,48
Big Clifty,KY,1
Big Island,VA,3
Big Lake,AK,4
Big Lake,MN,1
Big Pine,CA,3
Big Pine Key,FL,9
Big Rapids,MI,6
Big Sandy,MT,2
Big Sky,MT,8
Big Spring,TX,5
Big Stone Gap,VA,3
Big Timber,MT,3
Bigfork,MT,23
Biggsville,IL,1
Biglerville,PA,2
Billerica,MA,14
Billings,MT,445
Biloxi,MS,46
Bingen,WA,4
Bingham,ME,1
Binghamton,NY,91
Birch Bay,WA,8
Birch Run,MI,1
Birchwood,WI,1
Bird In Hand,PA,1
Birdsboro,PA,3
Birdseye,IN,1
Birmingham,AL,345
Birmingham,MI,11
Bisbee,AZ,5
Biscayne Park,FL,2
Bishop,CA,17
Bishop,GA,5
Bishopville,SC,1
Bismarck,AR,1
Bismarck,ND,175
Biwabik,MN,1
Bixby,OK,12
Black Creek,WI,2
Black Diamond,WA,3
Black Hawk,CO,6
Black Hawk,SD,9
Black Mountain,NC,41
Black River,MI,1
Black River Falls,WI,1
Black Rock,AR,1
Blackduck,MN,1
Blackfoot,ID,4
Blacklick,OH,16
Blacksburg,SC,2
Blacksburg,VA,19
Blackshear,GA,1
Blackstone,MA,1
Blackstone,VA,6
Blackwell,TX,1
Blackwood,NJ,4
Bladen,NE,1
Bladensburg,MD,1
Blaine,MN,20
Blaine,TN,2
Blaine,WA,31
Blair,NE,5
Blairsden-graeagle,CA,1
Blairstown,NJ,1
Blairsville,GA,18
Blakely,GA,1
Blakely,PA,1
Blakeslee,PA,3
Blanca,CO,1
Blanch,NC,1
Blanchardville,WI,1
Blanco,TX,2
Blanding,UT,1
Blauvelt,NY,1
Blodgett,OR,1
Bloomer,WI,1
Bloomfield,CT,16
Bloomfield,IN,2
Bloomfield,KY,1
Bloomfield,MO,1
Bloomfield,NJ,31
Bloomfield,NM,3
Bloomfield Hills,MI,9
Blooming Prairie,MN,1
Bloomingburg,NY,4
Bloomingdale,GA,4
Bloomingdale,IL,3
Bloomingdale,NY,1
Bloomingdale,OH,1
Bloomington,CA,1
Bloomington,IL,35
Bloomington,IN,141
Bloomington,MN,27
Bloomsburg,PA,23
Blossom,TX,1
Blountstown,FL,1
Blountville,TN,10
Blowing Rock,NC,12
Blue Ash,OH,2
Blue Bell,PA,6
Blue Diamond,NV,3
Blue Earth,MN,1
Blue Eye,MO,1
Blue Hill,ME,14
Blue Island,IL,4
Blue Lake,CA,7
Blue Mound,IL,1
Blue Ridge,GA,23
Blue Ridge,VA,2
Blue Ridge Summit,PA,1
Blue River,OR,1
Blue Springs,MO,18
Bluefield,VA,2
Bluefield,WV,6
Bluemont,VA,7
Bluff City,TN,19
Bluffdale,UT,9
Bluffton,IN,1
Bluffton,OH,1
Bluffton,SC,32
Bluffton,TX,2
Blum,TX,1
Blythe,CA,6
Blytheville,AR,2
Blythewood,SC,12
Boalsburg,PA,2
Boardman,OH,6
Boardman,OR,2
Boaz,AL,1
Boca Raton,FL,93
Bodega Bay,CA,2
Bodfish,CA,1
Boerne,TX,14
Bogalusa,LA,4
Bogart,GA,5
Bogota,NJ,2
Bohemia,NY,2
Boiceville,NY,1
Boiling Springs,NC,1
Boiling Springs,PA,1
Boiling Springs,SC,8
Bokchito,OK,1
Bokeelia,FL,6
Bolinas,CA,1
Bolingbrook,IL,3
Bolivar,MO,3
Bolivar,OH,2
Bolivia,NC,8
Bolton,CT,1
Bolton,MA,1
Bolton,VT,5
Bomoseen,VT,3
Bon Aqua,TN,1
Bon Secour,AL,1
Bonaire,GA,14
Bondville,VT,2
Bonham,TX,1
Bonita,CA,33
Bonita Springs,FL,107
Bonne Terre,MO,3
Bonner,MT,2
Bonner Springs,KS,3
Bonners Ferry,ID,1
Bonney Lake,WA,29
Bonnie,IL,1
Bonsall,CA,7
Boomer,NC,1
Boone,IA,1
Boone,NC,49
Boones Mill,VA,2
Booneville,IA,1
Booneville,MS,1
Boonsboro,MD,5
Boonton,NJ,3
Boonville,IN,3
Boonville,MO,8
Boonville,NC,1
Booth,TX,1
Boothbay,ME,3
Boothbay Harbor,ME,9
Bordentown,NJ,3
Boring,OR,2
Borrego Springs,CA,1
Boscawen,NH,5
Boscobel,WI,4
Bosque,NM,1
Bosque Farms,NM,3
Bossier City,LA,26
Boston,GA,1
Boswell,PA,2
Bothell,WA,57
Bottineau,ND,1
Boulder City,NV,8
Boulder Creek,CA,12
Bound Brook,NJ,13
Bountiful,UT,34
Bourbonnais,IL,1
Bourne,MA,23
Boutte,LA,1
Bovey,MN,2
Bow,NH,7
Bow,WA,15
Bowdoin,ME,3
Bowdoinham,ME,3
Bowersville,GA,1
Bowie,MD,92
Bowie,TX,1
Bowling Green,KY,59
Bowling Green,OH,3
Bowling Green,VA,1
Box Elder,SD,7
Boxford,MA,2
Boyce,LA,2
Boyds,MD,3
Boydton,VA,2
Boyertown,PA,3
Boylston,MA,1
Boyne City,MI,12
Boyne Falls,MI,5
Bracey,VA,9
Brackenridge,PA,1
Brackettville,TX,3
Brackney,PA,1
Braddock,PA,2
Bradenton,FL,357
Bradenton Beach,FL,11
Bradford,NH,3
Bradford,PA,2
Bradford,RI,1
Bradford,VT,6
Bradfordwoods,PA,2
Bradley,IL,5
Bradley,ME,3
Bradley,WV,1
Bradley Beach,NJ,20
Brainerd,MN,13
Braintree,MA,10
Branchburg,NJ,3
Branchville,NJ,1
Brandon,FL,67
Brandon,MS,16
Brandon,SD,3
Brandon,VT,12
Brandywine,MD,24
Branford,CT,56
Branson,MO,84
Branson West,MO,4
Brantingham,NY,1
Braselton,GA,13
Brasher Falls,NY,1
Brattleboro,VT,53
Brawley,CA,11
Brazil,IN,1
Brazoria,TX,3
Brea,CA,17
Breaux Bridge,LA,9
Brecksville,OH,3
Bremen,GA,4
Bremen,ME,2
Bremen,OH,1
Bremerton,WA,182
Brenham,TX,6
Brentwood,CA,54
Brentwood,MD,9
Brentwood,NY,7
Brentwood,TN,27
Brevard,NC,28
Brewer,ME,39
Brewerton,NY,3
Brewster,MA,34
Brewster,NY,7
Brewster,WA,5
Briarcliff Manor,NY,1
Brick,NJ,15
Bridge City,TX,1
Bridgeport,CT,111
Bridgeport,IL,1
Bridgeport,MI,1
Bridgeport,NE,2
Bridgeport,NY,5
Bridgeport,OH,4
Bridgeport,PA,1
Bridgeport,TX,3
Bridgeport,WV,8
Bridgeton,MO,4
Bridgeton,NJ,4
Bridgeville,DE,5
Bridgeville,PA,5
Bridgewater,MA,11
Bridgewater,NJ,8
Bridgewater,VA,2
Bridgewater Corners,VT,3
Bridgman,MI,4
Bridgton,ME,17
Bridport,VT,5
Brielle,NJ,1
Brier,WA,4
Brigantine,NJ,44
Brigham City,UT,5
Brighton,AL,1
Brighton,CO,27
Brighton,MA,29
Brighton,MI,9
Brightwood,OR,2
Brillion,WI,1
Brimfield,IL,1
Brimfield,MA,2
Brimley,MI,3
Brisbane,CA,11
Bristol,CT,28
Bristol,FL,1
Bristol,IN,3
Bristol,ME,4
Bristol,NH,8
Bristol,PA,2
Bristol,RI,14
Bristol,TN,49
Bristol,VA,43
Bristol,VT,21
Bristow,VA,10
Britton,SD,3
Broad Brook,CT,1
Broad Run,VA,2
Broadalbin,NY,4
Broadview,IL,2
Broadway,NC,1
Broadway,VA,2
Brockport,NY,6
Brockton,MA,48
Brockway,PA,1
Brodnax,VA,1
Broken Arrow,OK,27
Broken Bow,OK,2
Bronson,FL,1
Bronston,KY,10
Bronx,NY,273
Bronxville,NY,1
Brookdale,CA,2
Brookeville,MD,5
Brookfield,CT,3
Brookfield,IL,4
Brookfield,MA,1
Brookfield,VT,5
Brookfield,WI,16
Brookhaven,GA,21
Brookhaven,MS,1
Brookhaven,NY,3
Brookhaven,PA,6
Brookings,OR,86
Brookings,SD,3
Brookline,MA,65
Brookline,NH,2
Brookline Village,MA,3
Brooklyn,CT,5
Brooklyn,MD,5
Brooklyn,MI,3
Brooklyn,NY,965
Brooklyn,OH,3
Brooklyn Center,MN,8
Brooklyn Park,MN,24
Brookpark,OH,1
Brooks,GA,2
Brooks,KY,1
Brooks,ME,3
Brookshire,TX,4
Brookston,MN,1
Brooksville,FL,31
Brooksville,ME,4
Brooksville,MS,1
Brookville,PA,2
Broomall,PA,5
Broomes Island,MD,1
Broomfield,CO,77
Broussard,LA,2
Brownfield,ME,3
Brownfield,TX,2
Browning,MT,1
Brownington,VT,1
Browns Mills,NJ,1
Browns Summit,NC,3
Browns Valley,CA,5
Brownsburg,IN,18
Brownstown,PA,3
Brownsville,KY,2
Brownsville,MN,1
Brownsville,OR,4
Brownsville,TN,3
Brownsville,TX,32
Brownsville,VT,4
Browntown,WI,1
Brownwood,TX,16
Bruceton,TN,1
Bruceton Mills,WV,1
Brule,WI,1
Brunswick,GA,77
Brunswick,ME,51
Brunswick,OH,2
Brush Creek,TN,1
Brush Prairie,WA,6
Brushton,NY,2
Brusly,LA,1
Brutus,MI,2
Bryan,OH,1
Bryan,TX,56
Bryans Road,MD,2
Bryant,AR,6
Bryant Pond,ME,1
Bryn Mawr,PA,4
Bryson City,NC,11
Buchanan,MI,3
Buchanan,NY,2
Buchanan,VA,1
Buck Hill Falls,PA,1
Buckeye,AZ,87
Buckeye Lake,OH,8
Buckfield,ME,5
Buckhannon,WV,7
Buckhead,GA,17
Buckley,WA,13
Buckner,MO,1
Bucksport,ME,14
Bucyrus,OH,2
