City,State Abbreviation,Total Listings,Keyword,Top Keyword Monthly Searches,corporate_monthly_searches,furnished_monthly_searches,short term_monthly_searches,month_monthly_searches,sublet_monthly_searches,by owner_monthly_searches,landlord_monthly_searches,Average Monthly Searches_corporate_monthly_searches,Average Monthly Searches_furnished_monthly_searches,Average Monthly Searches_short term_monthly_searches,Average Monthly Searches_month_monthly_searches,Average Monthly Searches_sublet_monthly_searches,Average Monthly Searches_by owner_monthly_searches,Average Monthly Searches_landlord_monthly_searches
Astor,FL,3,astor fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Atlanta,GA,1126,atlanta apartments furnished,1600,,,,,,,,880.0,1600.0,1600.0,880.0,480.0,1300.0,1000.0
Atlantic Beach,FL,15,for rent by owner atlantic beach fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Atlantic City,NJ,29,atlantic city nj corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Auburndale,FL,5,houses for rent by owner in auburndale fl,1000,,,,,,,,0.0,0.0,0.0,0.0,0.0,1000.0,
Aurora,CO,366,houses for rent by owner aurora co,4400,,,,,,,,0.0,20.0,170.0,40.0,0.0,4400.0,
Austin,TX,1383,austin tx vacation rental,8100,,,,,,,,720.0,1300.0,2400.0,480.0,390.0,480.0,
Ave Maria,FL,2,monthly rentals in ave maria fl,40,,,,,,,,0.0,0.0,0.0,40.0,0.0,10.0,
Aventura,FL,3,short term rentals aventura,110,,,,,,,,0.0,10.0,110.0,0.0,0.0,40.0,
Avon Park,FL,18,monthly rentals in avon park fl,50,,,,,,,,0.0,0.0,0.0,50.0,0.0,50.0,
Baker,FL,2,baker fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Baltimore,MD,863,houses for rent by owner baltimore md,8100,,,,,,,,170.0,880.0,390.0,40.0,140.0,8100.0,1900.0
Bar Harbor,ME,22,bar harbor me corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bartow,FL,9,houses for rent by owner bartow fl,1300,,,,,,,,0.0,0.0,0.0,0.0,0.0,1300.0,
Bay Harbor Islands,FL,2,bay harbor islands fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bay Pines,FL,1,bay pines fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bell,FL,1,bell fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Belle Isle,FL,3,belle isle fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Belleair,FL,1,belleair fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Belleair Beach,FL,2,belleair beach fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Belleair Bluffs,FL,5,belleair bluffs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Belleview,FL,3,belleview fl for rent by owner,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Bellevue,WA,89,bellevue short term rentals,320,,,,,,,,110.0,260.0,320.0,10.0,0.0,170.0,
Benicia,CA,27,benicia homes for rent by owner,110,,,,,,,,0.0,0.0,0.0,0.0,0.0,110.0,
Berkeley,CA,148,berkeley short term rental,260,,,,,,,,0.0,140.0,260.0,10.0,170.0,0.0,
Beverly Hills,FL,3,for rent by owner beverly hills fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Big Bear Lake,CA,20,long term rentals big bear ca,320,,,,,,,,0.0,0.0,10.0,40.0,0.0,0.0,
Big Pine Key,FL,5,monthly rentals big pine key fl,10,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,
Blountstown,FL,1,blountstown fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Boca Raton,FL,54,short term furnished rentals boca raton,720,,,,,,,,70.0,720.0,720.0,720.0,0.0,170.0,
Boise,ID,632,boise short term rental,590,,,,,,,,90.0,260.0,590.0,170.0,0.0,320.0,
Bokeelia,FL,4,bokeelia fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bonita Springs,FL,67,monthly rentals bonita springs fl,260,,,,,,,,0.0,10.0,70.0,260.0,0.0,260.0,
Boston,MA,596,boston ma short term rentals,3600,,,,,,,,480.0,1000.0,3600.0,480.0,1900.0,320.0,
Boulder,CO,204,boulder co short term rentals,480,,,,,,,,70.0,210.0,480.0,110.0,140.0,40.0,
Boynton Beach,FL,75,houses for rent by owner in boynton beach fl,3600,,,,,,,,0.0,50.0,170.0,90.0,0.0,3600.0,
Bozeman,MT,232,bozeman mt short term rentals,390,,,,,,,,10.0,90.0,390.0,50.0,10.0,10.0,
Bradenton,FL,261,houses for rent by owner bradenton,4400,,,,,,,,10.0,70.0,320.0,590.0,0.0,4400.0,
Bradenton Beach,FL,7,bradenton beach florida vacation rentals by owner,480,,,,,,,,0.0,0.0,0.0,70.0,0.0,480.0,
Brandon,FL,49,houses for rent by owner in brandon fl,2900,,,,,,,,20.0,70.0,50.0,30.0,0.0,2900.0,
Breckenridge,CO,15,long term rentals breckenridge co,260,,,,,,,,0.0,10.0,30.0,70.0,0.0,260.0,
Bristol,FL,1,bristol fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Bronson,FL,1,bronson fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Brooksville,FL,20,houses for rent by owner in brooksville fl,1600,,,,,,,,0.0,0.0,30.0,0.0,0.0,1600.0,
Buffalo,NY,261,furnished apartments in buffalo new york,320,,,,,,,,90.0,320.0,320.0,140.0,0.0,0.0,
Bunnell,FL,5,homes for rent by owner bunnell fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Bushnell,FL,1,bushnell fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Callahan,FL,2,for rent by owner callahan fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Callaway,FL,2,callaway fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Cambridge,MA,60,cambridge ma short term rentals,210,,,,,,,,30.0,40.0,210.0,10.0,110.0,40.0,
Cantonment,FL,5,houses for rent by owner in cantonment fl,480,,,,,,,,0.0,0.0,0.0,0.0,0.0,480.0,
Cape Canaveral,FL,42,monthly rentals cape canaveral fl,50,,,,,,,,0.0,10.0,40.0,50.0,0.0,10.0,
Cape Coral,FL,304,short term rentals cape coral,320,,,,,,,,0.0,70.0,320.0,210.0,0.0,260.0,
Carrabelle,FL,6,for rent by owner carrabelle fl,30,,,,,,,,0.0,0.0,0.0,10.0,0.0,30.0,
Casselberry,FL,13,houses for rent by owner in casselberry fl,880,,,,,,,,0.0,0.0,0.0,0.0,0.0,880.0,
Cathedral City,CA,142,houses for rent by owner in cathedral city ca,1000,,,,,,,,0.0,0.0,0.0,0.0,0.0,1000.0,
Celebration,FL,1,for rent by owner celebration fl,50,,,,,,,,0.0,10.0,20.0,10.0,0.0,50.0,
Championsgate,FL,10,championsgate fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Chandler,AZ,188,house for rent by owner chandler az,6600,,,,,,,,50.0,320.0,320.0,90.0,0.0,6600.0,
Charlotte,NC,1045,charlotte nc short term rentals,1900,,,,,,,,480.0,1000.0,1900.0,1900.0,480.0,1000.0,1600.0
Chattahoochee,FL,1,chattahoochee fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Chicago,IL,1196,short term apartment rentals chicago,3600,,,,,,,,1000.0,1900.0,3600.0,720.0,2900.0,720.0,2900.0
Chino Hills,CA,5,houses for rent by owner in chino hills ca,90,,,,,,,,0.0,10.0,0.0,0.0,0.0,90.0,
Chipley,FL,1,for rent by owner chipley fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Christmas,FL,1,christmas fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Cincinnati,OH,523,short term lease apartments cincinnati,880,,,,,,,,260.0,390.0,880.0,110.0,140.0,0.0,590.0
Citra,FL,4,citra fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Citrus Springs,FL,5,citrus springs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Clarksville,TN,99,private owner rentals clarksville tn,590,,,,,,,,0.0,140.0,170.0,70.0,0.0,170.0,260.0
Clearwater,FL,192,airbnbs in clearwater florida,720,,,,,,,,20.0,140.0,390.0,320.0,0.0,170.0,10.0
Clearwater Beach,FL,23,airbnbs in clearwater florida,720,,,,,,,,0.0,140.0,390.0,320.0,0.0,20.0,
Clermont,FL,62,house for rent by owner clermont fl,4400,,,,,,,,0.0,20.0,140.0,40.0,0.0,4400.0,
Cleveland,OH,375,houses for rent by owner in cleveland ohio,9900,,,,,,,,260.0,480.0,480.0,40.0,0.0,9900.0,480.0
Cloud Lake,FL,1,cloud lake fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Cocoa,FL,16,short term rentals cocoa beach fl,210,,,,,,,,0.0,40.0,210.0,210.0,0.0,110.0,
Cocoa Beach,FL,57,cocoa beach florida vacation rentals by owner,1600,,,,,,,,0.0,40.0,210.0,210.0,0.0,1600.0,
Coconut Creek,FL,6,coconut creek fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
College Station,TX,36,college station tx corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Columbia,SC,346,houses for rent by owner in west columbia sc,1600,,,,,,,,110.0,390.0,390.0,390.0,170.0,1600.0,880.0
Columbus,OH,685,houses for rent by owner in columbus ohio,18100,,,,,,,,390.0,590.0,720.0,210.0,0.0,18100.0,1600.0
Cooper City,FL,2,for rent by owner cooper city,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Coral Gables,FL,14,coral gables apartments for rent by owner,260,,,,,,,,10.0,210.0,170.0,0.0,0.0,260.0,
Coral Springs,FL,21,houses for rent by owner in coral springs fl,2400,,,,,,,,0.0,10.0,70.0,10.0,0.0,2400.0,
Corpus Christi,TX,170,corpus christi houses for rent by owner,12100,,,,,,,,70.0,480.0,320.0,90.0,0.0,12100.0,
Coxsackie,NY,1,coxsackie ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Crawfordville,FL,5,for rent by owner crawfordville fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Crestview,FL,10,houses for rent by owner crestview fl,2900,,,,,,,,0.0,20.0,40.0,10.0,0.0,2900.0,
Crystal Beach,FL,1,crystal beach fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Crystal River,FL,24,monthly rentals in crystal river fl,40,,,,,,,,0.0,10.0,40.0,40.0,0.0,10.0,
Cupertino,CA,28,short term rentals cupertino,20,,,,,,,,0.0,20.0,20.0,0.0,0.0,0.0,
Cutler Bay,FL,9,cutler bay fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Dade City,FL,12,houses for rent in dade city fl by owner,50,,,,,,,,0.0,0.0,0.0,20.0,0.0,50.0,
Dania,FL,1,for rent by owner dania beach,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Dania Beach,FL,22,for rent by owner dania beach,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Davenport,FL,153,house for rent by owner in davenport fl,4400,,,,,,,,0.0,10.0,50.0,30.0,0.0,4400.0,
Davie,FL,16,for rent by owner davie,50,,,,,,,,0.0,0.0,10.0,10.0,0.0,50.0,
Daytona Beach,FL,113,houses for rent by owner in daytona beach fl,4400,,,,,,,,30.0,110.0,260.0,480.0,0.0,4400.0,110.0
Daytona Beach Shores,FL,25,daytona beach shores condos for rent by owner,70,,,,,,,,0.0,0.0,10.0,50.0,0.0,70.0,
Debary,FL,6,house for rent by owner in debary fl,880,,,,,,,,0.0,0.0,0.0,0.0,0.0,880.0,
Deerfield Beach,FL,30,short term rentals deerfield beach,110,,,,,,,,0.0,20.0,110.0,90.0,0.0,110.0,
Defuniak Springs,FL,5,for rent by owner defuniak springs fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Deland,FL,17,houses for rent by owner in deland fl,2900,,,,,,,,0.0,10.0,0.0,0.0,0.0,2900.0,
Delray Beach,FL,75,short term rentals delray beach,390,,,,,,,,10.0,140.0,390.0,210.0,10.0,170.0,
Deltona,FL,39,houses for rent in deltona fl by private owner,170,,,,,,,,0.0,0.0,20.0,0.0,0.0,140.0,
Denver,CO,1760,denver co short term rentals,2400,,,,,,,,480.0,1600.0,2400.0,480.0,480.0,880.0,140.0
Destin,FL,87,long term rentals destin fl,480,,,,,,,,10.0,50.0,210.0,320.0,0.0,480.0,
Doral,FL,8,short term rentals doral,30,,,,,,,,10.0,10.0,30.0,0.0,0.0,10.0,
Dundee,FL,1,dundee fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Dundee,NY,3,dundee ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Dunedin,FL,94,dunedin fl short term rentals,140,,,,,,,,0.0,30.0,140.0,140.0,0.0,90.0,
Dunnellon,FL,11,dunnellon for rent by owner,50,,,,,,,,0.0,0.0,0.0,40.0,0.0,50.0,
Dunsmuir,CA,9,dunsmuir ca corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Eagle Lake,FL,2,eagle lake fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
East Brunswick,NJ,3,homes for rent by owner in east brunswick nj,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Easton,PA,24,houses for rent by owner easton pa,50,,,,,,,,0.0,10.0,0.0,0.0,0.0,50.0,
Eastpoint,FL,2,eastpoint fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Edgewater,FL,18,for rent by owner edgewater fl,20,,,,,,,,0.0,0.0,0.0,10.0,0.0,20.0,
El Segundo,CA,19,short term rentals el segundo ca,20,,,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,
El portal,FL,1,el portal fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Elkton,FL,1,elkton fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Ellenton,FL,9,ellenton florida rentals monthly,10,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,
Ellicottville,NY,3,ellicottville ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Englewood,CO,112,short term rentals englewood co,20,,,,,,,,0.0,0.0,20.0,0.0,0.0,10.0,
Englewood,FL,61,monthly rentals englewood fl,170,,,,,,,,0.0,70.0,50.0,170.0,0.0,0.0,
Estero,FL,18,monthly rentals in estero florida,90,,,,,,,,0.0,10.0,10.0,90.0,0.0,40.0,
Eustis,FL,6,houses for rent by owner in eustis fl,1000,,,,,,,,0.0,0.0,0.0,0.0,0.0,1000.0,
Fernandina Beach,FL,27,fernandina beach long term rentals,320,,,,,,,,0.0,10.0,50.0,90.0,0.0,110.0,
Flagler Beach,FL,9,long term rentals flagler beach,110,,,,,,,,0.0,0.0,20.0,30.0,0.0,70.0,
Fleming Island,FL,7,houses for rent by owner 32003,20,,,,,,,,0.0,0.0,10.0,0.0,0.0,20.0,
Floral City,FL,5,floral city fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Florida CIty,FL,4,doral short term rentals,30,,,,,,,,0.0,10.0,30.0,10.0,0.0,0.0,
Fort Collins,CO,230,fort collins houses for rent by owner,6600,,,,,,,,30.0,480.0,480.0,110.0,70.0,6600.0,
Fort Lauderdale,FL,346,fort lauderdale short term rentals,1300,,,,,,,,170.0,390.0,1300.0,480.0,0.0,170.0,
Fort Mc Coy,FL,1,fort mc coy fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Fort Myers,FL,419,fort myers houses for rent by owner,6600,,,,,,,,30.0,260.0,880.0,590.0,0.0,6600.0,
Fort Myers Beach,FL,11,fort myers beach short term rentals,880,,,,,,,,0.0,10.0,880.0,170.0,0.0,170.0,
Fort Pierce,FL,70,houses for rent for $600 a month in fort pierce,320,,,,,,,,0.0,10.0,10.0,320.0,0.0,0.0,
Fort Walton Beach,FL,108,long term rentals fort walton beach,210,,,,,,,,10.0,40.0,140.0,40.0,0.0,170.0,
Fort White,FL,1,fort white fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Fountain Valley,CA,28,fountain valley short term rental,10,,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,
Four Corners,FL,5,four corners fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Freedom,NH,2,freedom nh corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Freeport,FL,5,for rent by owner freeport fl,70,,,,,,,,0.0,0.0,0.0,0.0,0.0,70.0,
Fresno,CA,346,houses for rent by owner in fresno ca,14800,,,,,,,,0.0,140.0,170.0,30.0,0.0,14800.0,10.0
Frisco,TX,62,houses for rent by owner frisco tx,4400,,,,,,,,70.0,170.0,210.0,10.0,0.0,4400.0,
Fruitland Park,FL,3,houses for rent in fruitland park fl by owner,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Gainesville,FL,227,furnished apartments in gainesville fl,590,,,,,,,,0.0,590.0,390.0,140.0,0.0,170.0,10.0
Galveston,TX,162,houses for rent by owner galveston tx,5400,,,,,,,,10.0,110.0,260.0,110.0,0.0,5400.0,
Geneva,FL,2,geneva fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Georgetown,FL,1,georgetown fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Gibsonton,FL,6,homes for rent by owner gibsonton fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Goleta,CA,43,studio rental by private owner goleta ca,20,,,,,,,,0.0,10.0,0.0,0.0,0.0,10.0,
Gotha,FL,2,gotha fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Grant,FL,2,grant fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Green Cove Springs,FL,4,green cove springs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Greenacres,FL,5,greenacres fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Greensboro,NC,271,homes for rent in greensboro nc by private owners,1600,,,,,,,,90.0,320.0,390.0,110.0,50.0,260.0,720.0
Groveland,FL,7,for rent by owner groveland fl,40,,,,,,,,0.0,0.0,0.0,0.0,0.0,40.0,
Gulf Breeze,FL,45,houses for rent by owner in gulf breeze fl,1300,,,,,,,,0.0,10.0,0.0,10.0,0.0,1300.0,
Gulfport,FL,49,private owner rentals in gulfport florida,70,,,,,,,,0.0,10.0,30.0,10.0,0.0,10.0,
Haines City,FL,31,houses for rent by owner in haines city fl,1600,,,,,,,,0.0,0.0,20.0,0.0,0.0,1600.0,
Hallandale,FL,6,houses for rent by owner in hallandale fl,590,,,,,,,,0.0,10.0,40.0,10.0,0.0,590.0,
Hallandale Beach,FL,16,houses for rent by owner in hallandale fl,590,,,,,,,,0.0,10.0,40.0,10.0,0.0,590.0,
Havana,FL,1,for rent by owner havana fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Hawthorne,FL,3,hawthorne fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Healdsburg,CA,47,short term rentals healdsburg ca,20,,,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,
Henderson,NV,214,house for rent by owner henderson nv,12100,,,,,,,,0.0,210.0,390.0,140.0,0.0,12100.0,
Hernando,FL,11,for rent by owner hernando county fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Hernando Beach,FL,3,hernando beach fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Hialeah,FL,15,houses for rent by owner in hialeah fl,1300,,,,,,,,0.0,0.0,0.0,0.0,0.0,1300.0,
High Springs,FL,5,high springs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Highland,NY,9,highland ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Highland Beach,FL,1,furnished seasonal rentals highland beach fl,20,,,,,,,,0.0,20.0,0.0,10.0,0.0,0.0,
Hobe Sound,FL,10,hobe sound fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Holiday,FL,16,long term holiday rentals florida,210,,,,,,,,0.0,0.0,50.0,10.0,0.0,40.0,
Hollister,FL,1,hollister fl short term apartment rentals,0,,,,,,,,,0.0,0.0,,,0.0,
Holly Hill,FL,7,for rent by owner holly hill fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Hollywood,FL,139,house for rent by owner hollywood fl,3600,,,,,,,,0.0,50.0,260.0,140.0,0.0,3600.0,
Hollywood Beach,FL,5,hollywood beach rentals by owner,70,,,,,,,,0.0,10.0,10.0,30.0,0.0,70.0,
Holmes Beach,FL,11,monthly rentals holmes beach fl,30,,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,
Homestead,FL,19,furnished apartments for rent in homestead fl,10,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,
Homosassa,FL,10,monthly rentals homosassa florida,50,,,,,,,,0.0,10.0,10.0,50.0,0.0,30.0,
Homosassa Springs,FL,2,homosassa springs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Honolulu,HI,532,short term rentals honolulu,880,,,,,,,,70.0,320.0,880.0,260.0,50.0,90.0,
Houston,TX,1203,furnished apt houston,1900,,,,,,,,1300.0,1900.0,1600.0,1000.0,480.0,1600.0,390.0
Howey In The Hills,FL,4,howey in the hills fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Hudson,FL,45,houses for rent in hudson fl by owner,110,,,,,,,,0.0,0.0,30.0,10.0,0.0,110.0,
Huntington Beach,CA,167,short term rentals huntington beach,260,,,,,,,,10.0,50.0,260.0,10.0,0.0,70.0,
Hurley,NY,1,hurley ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Hutchinson Island,FL,12,long term rentals hutchinson island florida,170,,,,,,,,0.0,0.0,20.0,70.0,0.0,10.0,
Hypoluxo,FL,3,hypoluxo fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Indialantic,FL,11,short term rentals indialantic fl,10,,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,
Indian Harbour Beach,FL,9,for rent by owner indian harbour beach fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Indian Rocks Beach,FL,25,indian rocks beach monthly rentals,210,,,,,,,,0.0,0.0,40.0,210.0,0.0,0.0,
Indian Shores,FL,11,monthly rentals indian shores florida,20,,,,,,,,0.0,0.0,0.0,20.0,0.0,0.0,
Indiantown,FL,1,for rent by owner indiantown fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Indio,CA,127,indio ca short term rentals,170,,,,,,,,0.0,10.0,170.0,10.0,0.0,10.0,
Inglewood,CA,146,short term rentals inglewood ca,10,,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,
Inglis,FL,2,inglis fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Inlet Beach,FL,3,inlet beach fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Interlachen,FL,3,for rent by owner in interlachen fl,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Inverness,FL,27,monthly rentals in inverness fl,70,,,,,,,,0.0,0.0,0.0,70.0,0.0,30.0,
Irvine,CA,69,short term rentals irvine,390,,,,,,,,110.0,210.0,390.0,10.0,70.0,40.0,
Irving,TX,100,irving houses for rent by owner,320,,,,,,,,70.0,170.0,20.0,10.0,0.0,320.0,20.0
Islamorada,FL,7,long term rentals islamorada fl,90,,,,,,,,0.0,0.0,20.0,40.0,0.0,10.0,
Ithaca,NY,38,ithaca short term rentals,170,,,,,,,,0.0,10.0,170.0,10.0,90.0,40.0,
Jacksonville,FL,532,houses for rent by owner in jacksonville,12100,,,,,,,,260.0,590.0,1600.0,590.0,90.0,12100.0,260.0
Jacksonville Beach,FL,56,short term rentals jacksonville beach,110,,,,,,,,0.0,10.0,110.0,110.0,0.0,90.0,
Jamaica Beach,TX,1,jamaica beach tx corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Jensen Beach,FL,50,houses for rent by owner in jensen beach fl,720,,,,,,,,0.0,0.0,40.0,40.0,0.0,720.0,
Jersey City,NJ,102,short term lease apartments in new jersey,1900,,,,,,,,90.0,720.0,1900.0,50.0,320.0,720.0,
