ISO_Year,ISO_Week,ISO_Week_Start_Date,LandingPage_Group,Channel_Group,Device_Group,Sessions,TotalUsers,NewUsers,Pageviews
2023,27,2023-07-03,.Home,Other,MOBILE,2530,2213,1276,15464
2023,27,2023-07-03,.Home,Other,NON-MOBILE,2223,1780,376,30992
2023,27,2023-07-03,.Home,Paid,MOBILE,48083,42340,25304,315390
2023,27,2023-07-03,.Home,Paid,NON-MOBILE,27188,24580,12415,273003
2023,27,2023-07-03,.Home,SEO,MOBILE,18666,16344,8504,128133
2023,27,2023-07-03,.Home,SEO,NON-MOBILE,21461,19284,9040,226161
2023,27,2023-07-03,.Home,Undefined,MOBILE,658,656,0,4387
2023,27,2023-07-03,.Home,Undefined,NON-MOBILE,215,214,0,3323
2023,27,2023-07-03,.LYP,Direct,MOBILE,4858,4143,2592,18649
2023,27,2023-07-03,.LYP,Direct,NON-MOBILE,1306,1084,488,10821
2023,27,2023-07-03,.LYP,Other,MOBILE,362,346,272,1035
2023,27,2023-07-03,.LYP,Other,NON-MOBILE,98,90,29,858
2023,27,2023-07-03,.LYP,Paid,MOBILE,9031,8624,6897,19566
2023,27,2023-07-03,.LYP,Paid,NON-MOBILE,2735,2529,1674,14731
2023,27,2023-07-03,.LYP,SEO,MOBILE,436,374,64,2087
2023,27,2023-07-03,.LYP,SEO,NON-MOBILE,641,458,36,4419
2023,27,2023-07-03,.LYP,Undefined,MOBILE,65,65,0,298
2023,27,2023-07-03,.LYP,Undefined,NON-MOBILE,19,19,0,190
2023,27,2023-07-03,.Other,Direct,MOBILE,18207,16974,5357,34878
2023,27,2023-07-03,.Other,Direct,NON-MOBILE,14672,13860,1859,34133
2023,27,2023-07-03,.Other,Other,MOBILE,1057,1021,628,2968
2023,27,2023-07-03,.Other,Other,NON-MOBILE,3427,2770,193,193888
2023,27,2023-07-03,.Other,Paid,MOBILE,13535,12801,5867,48262
2023,27,2023-07-03,.Other,Paid,NON-MOBILE,13191,12525,2304,47718
2023,27,2023-07-03,.Other,SEO,MOBILE,6861,6392,2170,19634
2023,27,2023-07-03,.Other,SEO,NON-MOBILE,14321,13558,2475,61915
2023,27,2023-07-03,.Other,Undefined,MOBILE,583,582,0,2223
2023,27,2023-07-03,.Other,Undefined,NON-MOBILE,413,407,0,4998
2023,27,2023-07-03,.Property,Direct,MOBILE,41228,30923,19383,88420
2023,27,2023-07-03,.Property,Direct,NON-MOBILE,11022,10096,9022,25275
2023,27,2023-07-03,.Property,Other,MOBILE,15690,15214,14211,35859
2023,27,2023-07-03,.Property,Other,NON-MOBILE,1679,1469,1078,5063
2023,27,2023-07-03,.Property,Paid,MOBILE,4563,2330,155,13327
2023,27,2023-07-03,.Property,Paid,NON-MOBILE,1219,679,45,9622
2023,27,2023-07-03,.Property,SEO,MOBILE,3148,1677,292,9196
2023,27,2023-07-03,.Property,SEO,NON-MOBILE,1291,753,69,8939
2023,27,2023-07-03,.Property,Undefined,MOBILE,41,41,0,135
2023,27,2023-07-03,.Property,Undefined,NON-MOBILE,14,13,0,205
2023,28,2023-07-10,./corporate/,Direct,MOBILE,220,208,179,857
2023,28,2023-07-10,./corporate/,Direct,NON-MOBILE,156,107,78,925
2023,28,2023-07-10,./corporate/,Other,MOBILE,3,3,3,16
2023,28,2023-07-10,./corporate/,Other,NON-MOBILE,30,26,15,415
2023,28,2023-07-10,./corporate/,Paid,MOBILE,16,14,1,45
2023,28,2023-07-10,./corporate/,Paid,NON-MOBILE,8,8,0,71
2023,28,2023-07-10,./corporate/,SEO,MOBILE,5465,5251,4297,26339
2023,28,2023-07-10,./corporate/,SEO,NON-MOBILE,3137,3057,2441,22757
2023,28,2023-07-10,./corporate/,Undefined,MOBILE,5,5,0,37
2023,28,2023-07-10,./corporate/,Undefined,NON-MOBILE,3,3,0,17
2023,28,2023-07-10,./housing/,Direct,MOBILE,9819,8688,4454,33009
2023,28,2023-07-10,./housing/,Direct,NON-MOBILE,3376,3061,1011,20867
2023,28,2023-07-10,./housing/,Other,MOBILE,293,274,113,1202
2023,28,2023-07-10,./housing/,Other,NON-MOBILE,332,296,25,3440
2023,28,2023-07-10,./housing/,Paid,MOBILE,8736,7646,2762,34370
2023,28,2023-07-10,./housing/,Paid,NON-MOBILE,4154,3894,1468,28811
2023,28,2023-07-10,./housing/,SEO,MOBILE,7057,6354,3153,34738
2023,28,2023-07-10,./housing/,SEO,NON-MOBILE,4542,4292,1750,33326
2023,28,2023-07-10,./housing/,Undefined,MOBILE,187,187,0,1170
2023,28,2023-07-10,./housing/,Undefined,NON-MOBILE,423,423,0,1336
2023,28,2023-07-10,./members/,Direct,MOBILE,57010,48644,17006,214681
2023,28,2023-07-10,./members/,Direct,NON-MOBILE,40693,34091,5413,246748
2023,28,2023-07-10,./members/,Other,MOBILE,1268,883,99,5727
2023,28,2023-07-10,./members/,Other,NON-MOBILE,2920,2084,30,23203
2023,28,2023-07-10,./members/,Paid,MOBILE,11705,9220,233,51799
2023,28,2023-07-10,./members/,Paid,NON-MOBILE,17212,14010,65,123448
2023,28,2023-07-10,./members/,SEO,MOBILE,8777,6877,558,41636
2023,28,2023-07-10,./members/,SEO,NON-MOBILE,19502,15885,472,142764
2023,28,2023-07-10,./members/,Undefined,MOBILE,729,729,0,5317
2023,28,2023-07-10,./members/,Undefined,NON-MOBILE,781,773,0,8126
2023,28,2023-07-10,.Home,Direct,MOBILE,56125,49290,26601,403422
2023,28,2023-07-10,.Home,Direct,NON-MOBILE,31226,27341,11659,283989
2023,28,2023-07-10,.Home,Other,MOBILE,2474,2159,1236,13963
2023,28,2023-07-10,.Home,Other,NON-MOBILE,2577,2057,440,32298
2023,28,2023-07-10,.Home,Paid,MOBILE,47914,42014,24602,313453
2023,28,2023-07-10,.Home,Paid,NON-MOBILE,30130,27173,13432,291734
2023,28,2023-07-10,.Home,SEO,MOBILE,19144,16739,8605,136498
2023,28,2023-07-10,.Home,SEO,NON-MOBILE,24555,21783,9960,254493
2023,28,2023-07-10,.Home,Undefined,MOBILE,605,605,0,4024
2023,28,2023-07-10,.Home,Undefined,NON-MOBILE,6493,6492,0,14399
2023,28,2023-07-10,.LYP,Direct,MOBILE,4995,4185,2521,20433
2023,28,2023-07-10,.LYP,Direct,NON-MOBILE,1624,1303,621,13138
2023,28,2023-07-10,.LYP,Other,MOBILE,305,283,237,863
2023,28,2023-07-10,.LYP,Other,NON-MOBILE,49,37,13,359
2023,28,2023-07-10,.LYP,Paid,MOBILE,8740,8280,6567,18432
2023,28,2023-07-10,.LYP,Paid,NON-MOBILE,2737,2516,1603,14438
2023,28,2023-07-10,.LYP,SEO,MOBILE,442,384,47,2375
2023,28,2023-07-10,.LYP,SEO,NON-MOBILE,752,520,54,4781
2023,28,2023-07-10,.LYP,Undefined,MOBILE,73,73,0,396
2023,28,2023-07-10,.LYP,Undefined,NON-MOBILE,32,31,0,264
2023,28,2023-07-10,.Other,Direct,MOBILE,18575,17369,5446,36239
2023,28,2023-07-10,.Other,Direct,NON-MOBILE,16280,15317,2194,39771
2023,28,2023-07-10,.Other,Other,MOBILE,1038,994,598,3244
2023,28,2023-07-10,.Other,Other,NON-MOBILE,3969,3158,158,217556
2023,28,2023-07-10,.Other,Paid,MOBILE,13529,12796,5819,48330
2023,28,2023-07-10,.Other,Paid,NON-MOBILE,14961,14211,2351,53012
2023,28,2023-07-10,.Other,SEO,MOBILE,7311,6733,2260,21297
2023,28,2023-07-10,.Other,SEO,NON-MOBILE,15853,14928,2660,70919
2023,28,2023-07-10,.Other,Undefined,MOBILE,473,473,0,1586
2023,28,2023-07-10,.Other,Undefined,NON-MOBILE,737,727,0,5847
2023,28,2023-07-10,.Property,Direct,MOBILE,46541,34481,21821,99688
2023,28,2023-07-10,.Property,Direct,NON-MOBILE,13475,12438,11252,27021
2023,28,2023-07-10,.Property,Other,MOBILE,13535,12949,11855,32226
2023,28,2023-07-10,.Property,Other,NON-MOBILE,1870,1508,1067,6221
2023,28,2023-07-10,.Property,Paid,MOBILE,4860,2423,240,15515
2023,28,2023-07-10,.Property,Paid,NON-MOBILE,1260,668,73,9489
2023,28,2023-07-10,.Property,SEO,MOBILE,3326,1648,240,9109
2023,28,2023-07-10,.Property,SEO,NON-MOBILE,1466,775,61,11389
2023,28,2023-07-10,.Property,Undefined,MOBILE,17,16,0,40
2023,28,2023-07-10,.Property,Undefined,NON-MOBILE,226,226,0,249
2023,29,2023-07-17,./corporate/,Direct,MOBILE,253,239,202,977
2023,29,2023-07-17,./corporate/,Direct,NON-MOBILE,136,107,72,841
2023,29,2023-07-17,./corporate/,Other,MOBILE,8,8,6,119
2023,29,2023-07-17,./corporate/,Other,NON-MOBILE,24,23,16,292
2023,29,2023-07-17,./corporate/,Paid,MOBILE,11,11,0,43
2023,29,2023-07-17,./corporate/,Paid,NON-MOBILE,8,6,0,101
2023,29,2023-07-17,./corporate/,SEO,MOBILE,5051,4850,3988,23973
2023,29,2023-07-17,./corporate/,SEO,NON-MOBILE,2864,2783,2210,19758
2023,29,2023-07-17,./corporate/,Undefined,MOBILE,4,4,0,14
2023,29,2023-07-17,./corporate/,Undefined,NON-MOBILE,4,4,0,57
2023,29,2023-07-17,./housing/,Direct,MOBILE,9032,7883,4015,29032
2023,29,2023-07-17,./housing/,Direct,NON-MOBILE,2717,2445,739,17285
2023,29,2023-07-17,./housing/,Other,MOBILE,323,288,140,1422
2023,29,2023-07-17,./housing/,Other,NON-MOBILE,303,276,45,2200
2023,29,2023-07-17,./housing/,Paid,MOBILE,8117,7025,2602,30837
2023,29,2023-07-17,./housing/,Paid,NON-MOBILE,3835,3591,1533,25038
2023,29,2023-07-17,./housing/,SEO,MOBILE,6570,5889,2895,32796
2023,29,2023-07-17,./housing/,SEO,NON-MOBILE,4344,4044,1720,33223
2023,29,2023-07-17,./housing/,Undefined,MOBILE,166,166,0,1341
2023,29,2023-07-17,./housing/,Undefined,NON-MOBILE,185,185,0,1034
2023,29,2023-07-17,./members/,Direct,MOBILE,58752,50199,17912,218766
2023,29,2023-07-17,./members/,Direct,NON-MOBILE,40716,33940,5308,247219
2023,29,2023-07-17,./members/,Other,MOBILE,1344,975,111,5471
2023,29,2023-07-17,./members/,Other,NON-MOBILE,2756,2063,16,19324
2023,29,2023-07-17,./members/,Paid,MOBILE,12287,9694,206,55885
2023,29,2023-07-17,./members/,Paid,NON-MOBILE,17632,14482,69,127289
2023,29,2023-07-17,./members/,SEO,MOBILE,8021,6429,464,36808
2023,29,2023-07-17,./members/,SEO,NON-MOBILE,19457,15947,387,145427
2023,29,2023-07-17,./members/,Undefined,MOBILE,740,739,0,5849
2023,29,2023-07-17,./members/,Undefined,NON-MOBILE,792,786,0,7293
2023,29,2023-07-17,.Home,Direct,MOBILE,55951,49226,26657,403309
2023,29,2023-07-17,.Home,Direct,NON-MOBILE,31003,27142,11443,286969
2023,29,2023-07-17,.Home,Other,MOBILE,2561,2168,1168,15826
2023,29,2023-07-17,.Home,Other,NON-MOBILE,2515,1983,414,29166
2023,29,2023-07-17,.Home,Paid,MOBILE,47838,41761,23997,314035
2023,29,2023-07-17,.Home,Paid,NON-MOBILE,30664,27510,13342,297416
2023,29,2023-07-17,.Home,SEO,MOBILE,19089,16607,8461,134275
2023,29,2023-07-17,.Home,SEO,NON-MOBILE,24533,21759,9750,256852
2023,29,2023-07-17,.Home,Undefined,MOBILE,659,659,0,4785
2023,29,2023-07-17,.Home,Undefined,NON-MOBILE,5254,5254,0,12029
2023,29,2023-07-17,.LYP,Direct,MOBILE,4884,4197,2579,21072
2023,29,2023-07-17,.LYP,Direct,NON-MOBILE,1616,1287,585,12978
2023,29,2023-07-17,.LYP,Other,MOBILE,361,347,274,798
2023,29,2023-07-17,.LYP,Other,NON-MOBILE,85,78,38,643
2023,29,2023-07-17,.LYP,Paid,MOBILE,9378,8921,7102,20313
2023,29,2023-07-17,.LYP,Paid,NON-MOBILE,2574,2380,1540,14384
2023,29,2023-07-17,.LYP,SEO,MOBILE,523,428,63,2376
2023,29,2023-07-17,.LYP,SEO,NON-MOBILE,673,519,51,5117
2023,29,2023-07-17,.LYP,Undefined,MOBILE,75,75,0,754
2023,29,2023-07-17,.LYP,Undefined,NON-MOBILE,20,20,0,153
2023,29,2023-07-17,.Other,Direct,MOBILE,18601,17390,5398,35779
2023,29,2023-07-17,.Other,Direct,NON-MOBILE,15826,14889,2093,32437
2023,29,2023-07-17,.Other,Other,MOBILE,1326,1256,771,4103
2023,29,2023-07-17,.Other,Other,NON-MOBILE,3958,3180,174,241700
2023,29,2023-07-17,.Other,Paid,MOBILE,14528,13761,6511,53267
2023,29,2023-07-17,.Other,Paid,NON-MOBILE,15024,14243,2350,50232
2023,29,2023-07-17,.Other,SEO,MOBILE,7377,6758,2257,21722
2023,29,2023-07-17,.Other,SEO,NON-MOBILE,15816,14924,2438,65947
2023,29,2023-07-17,.Other,Undefined,MOBILE,550,546,0,1919
2023,29,2023-07-17,.Other,Undefined,NON-MOBILE,503,503,0,5066
2023,29,2023-07-17,.Property,Direct,MOBILE,47110,35434,22386,101737
2023,29,2023-07-17,.Property,Direct,NON-MOBILE,18410,17383,16106,34231
2023,29,2023-07-17,.Property,Other,MOBILE,13911,13328,12281,32861
2023,29,2023-07-17,.Property,Other,NON-MOBILE,1959,1628,1076,5594
2023,29,2023-07-17,.Property,Paid,MOBILE,4537,2190,119,13873
2023,29,2023-07-17,.Property,Paid,NON-MOBILE,1367,689,34,11363
2023,29,2023-07-17,.Property,SEO,MOBILE,3510,1677,259,9832
2023,29,2023-07-17,.Property,SEO,NON-MOBILE,1529,793,72,11405
2023,29,2023-07-17,.Property,Undefined,MOBILE,14,14,0,28
2023,29,2023-07-17,.Property,Undefined,NON-MOBILE,1094,1093,0,1113
2023,30,2023-07-24,./corporate/,Direct,MOBILE,293,260,210,1221
2023,30,2023-07-24,./corporate/,Direct,NON-MOBILE,146,92,72,825
2023,30,2023-07-24,./corporate/,Other,MOBILE,4,4,3,42
2023,30,2023-07-24,./corporate/,Other,NON-MOBILE,24,22,15,211
2023,30,2023-07-24,./corporate/,Paid,MOBILE,9,9,0,23
2023,30,2023-07-24,./corporate/,Paid,NON-MOBILE,8,7,0,115
2023,30,2023-07-24,./corporate/,SEO,MOBILE,5114,4866,4028,23824
2023,30,2023-07-24,./corporate/,SEO,NON-MOBILE,2889,2811,2285,20509
2023,30,2023-07-24,./corporate/,Undefined,MOBILE,6,6,0,48
2023,30,2023-07-24,./corporate/,Undefined,NON-MOBILE,4,4,0,11
2023,30,2023-07-24,./housing/,Direct,MOBILE,9574,8328,4143,30360
2023,30,2023-07-24,./housing/,Direct,NON-MOBILE,2914,2642,831,26232
2023,30,2023-07-24,./housing/,Other,MOBILE,336,307,142,1274
2023,30,2023-07-24,./housing/,Other,NON-MOBILE,313,275,31,2074
2023,30,2023-07-24,./housing/,Paid,MOBILE,8876,7740,2666,33982
2023,30,2023-07-24,./housing/,Paid,NON-MOBILE,3967,3702,1437,28168
2023,30,2023-07-24,./housing/,SEO,MOBILE,6684,5954,2798,33628
2023,30,2023-07-24,./housing/,SEO,NON-MOBILE,4436,4173,1664,33683
2023,30,2023-07-24,./housing/,Undefined,MOBILE,163,163,0,1066
2023,30,2023-07-24,./housing/,Undefined,NON-MOBILE,101,101,0,1215
2023,30,2023-07-24,./members/,Direct,MOBILE,57641,49289,17513,212591
2023,30,2023-07-24,./members/,Direct,NON-MOBILE,40793,33910,5201,249522
2023,30,2023-07-24,./members/,Other,MOBILE,1345,970,98,5450
2023,30,2023-07-24,./members/,Other,NON-MOBILE,2845,2101,30,20082
2023,30,2023-07-24,./members/,Paid,MOBILE,12191,9678,254,56792
2023,30,2023-07-24,./members/,Paid,NON-MOBILE,18237,14970,80,133228
2023,30,2023-07-24,./members/,SEO,MOBILE,7770,6195,404,33819
2023,30,2023-07-24,./members/,SEO,NON-MOBILE,19953,16312,389,146764
2023,30,2023-07-24,./members/,Undefined,MOBILE,742,742,0,5118
2023,30,2023-07-24,./members/,Undefined,NON-MOBILE,819,810,0,7637
2023,30,2023-07-24,.Home,Direct,MOBILE,56577,49318,26696,404798
2023,30,2023-07-24,.Home,Direct,NON-MOBILE,31680,27713,12201,281320
2023,30,2023-07-24,.Home,Other,MOBILE,2748,2363,1367,16407
2023,30,2023-07-24,.Home,Other,NON-MOBILE,2525,2005,438,33374
2023,30,2023-07-24,.Home,Paid,MOBILE,48578,42649,24578,324830
2023,30,2023-07-24,.Home,Paid,NON-MOBILE,31577,28501,13799,311121
2023,30,2023-07-24,.Home,SEO,MOBILE,19650,17028,8586,140123
2023,30,2023-07-24,.Home,SEO,NON-MOBILE,24486,21831,9681,255916
2023,30,2023-07-24,.Home,Undefined,MOBILE,578,578,0,4193
2023,30,2023-07-24,.Home,Undefined,NON-MOBILE,226,225,0,2788
2023,30,2023-07-24,.LYP,Direct,MOBILE,5138,4387,2772,21829
2023,30,2023-07-24,.LYP,Direct,NON-MOBILE,1620,1380,620,13236
2023,30,2023-07-24,.LYP,Other,MOBILE,317,304,248,745
2023,30,2023-07-24,.LYP,Other,NON-MOBILE,110,89,28,599
2023,30,2023-07-24,.LYP,Paid,MOBILE,9743,9274,7501,21148
2023,30,2023-07-24,.LYP,Paid,NON-MOBILE,2767,2446,1491,14967
2023,30,2023-07-24,.LYP,SEO,MOBILE,526,416,51,2412
2023,30,2023-07-24,.LYP,SEO,NON-MOBILE,667,532,82,5514
2023,30,2023-07-24,.LYP,Undefined,MOBILE,65,65,0,332
2023,30,2023-07-24,.LYP,Undefined,NON-MOBILE,19,19,0,148
2023,30,2023-07-24,.Other,Direct,MOBILE,18297,17153,5363,35720
2023,30,2023-07-24,.Other,Direct,NON-MOBILE,15901,15010,2159,38463
2023,30,2023-07-24,.Other,Other,MOBILE,1177,1133,697,3664
2023,30,2023-07-24,.Other,Other,NON-MOBILE,3831,3092,172,222035
2023,30,2023-07-24,.Other,Paid,MOBILE,14819,14010,6685,57124
2023,30,2023-07-24,.Other,Paid,NON-MOBILE,15646,14849,2471,54785
2023,30,2023-07-24,.Other,SEO,MOBILE,7316,6638,2190,21862
2023,30,2023-07-24,.Other,SEO,NON-MOBILE,16287,15366,2658,76111
2023,30,2023-07-24,.Other,Undefined,MOBILE,500,500,0,1843
2023,30,2023-07-24,.Other,Undefined,NON-MOBILE,438,436,0,2824
2023,30,2023-07-24,.Property,Direct,MOBILE,47966,35654,22311,103211
2023,30,2023-07-24,.Property,Direct,NON-MOBILE,8124,7174,6030,22654
2023,30,2023-07-24,.Property,Other,MOBILE,14570,13959,12877,34219
2023,30,2023-07-24,.Property,Other,NON-MOBILE,2129,1802,1133,6499
2023,30,2023-07-24,.Property,Paid,MOBILE,5121,2551,191,15541
2023,30,2023-07-24,.Property,Paid,NON-MOBILE,1611,855,43,11772
2023,30,2023-07-24,.Property,SEO,MOBILE,3709,1979,434,10517
2023,30,2023-07-24,.Property,SEO,NON-MOBILE,1529,848,85,10920
2023,30,2023-07-24,.Property,Undefined,MOBILE,12,12,0,39
2023,30,2023-07-24,.Property,Undefined,NON-MOBILE,16,16,0,116
2023,31,2023-07-31,./corporate/,Direct,MOBILE,281,255,223,1044
2023,31,2023-07-31,./corporate/,Direct,NON-MOBILE,120,113,90,721
2023,31,2023-07-31,./corporate/,Other,MOBILE,4,4,2,7
2023,31,2023-07-31,./corporate/,Other,NON-MOBILE,15,15,10,97
2023,31,2023-07-31,./corporate/,Paid,MOBILE,15,15,0,164
2023,31,2023-07-31,./corporate/,Paid,NON-MOBILE,4,4,0,10
2023,31,2023-07-31,./corporate/,SEO,MOBILE,4880,4686,3838,24188
2023,31,2023-07-31,./corporate/,SEO,NON-MOBILE,2701,2632,2149,18659
2023,31,2023-07-31,./corporate/,Undefined,MOBILE,9,9,0,60
2023,31,2023-07-31,./corporate/,Undefined,NON-MOBILE,4,4,0,15
2023,31,2023-07-31,./housing/,Direct,MOBILE,9839,8682,4426,32397
